stat_id,value,date,team_key,manager,stat_id,stat_name
60,-,2011-03-31,346.l.49099.t.1,"Happy Chandler, Adam Peindl",60,AVG
7,-,2011-03-31,346.l.49099.t.1,"Happy Chandler, Adam Peindl",7,R
13,-,2011-03-31,346.l.49099.t.1,"Happy Chandler, Adam Peindl",13,RBI
16,-,2011-03-31,346.l.49099.t.1,"Happy Chandler, Adam Peindl",16,SB
23,-,2011-03-31,346.l.49099.t.1,"Happy Chandler, Adam Peindl",23,TB
4,-,2011-03-31,346.l.49099.t.1,"Happy Chandler, Adam Peindl",4,OBP
50,-,2011-03-31,346.l.49099.t.1,"Happy Chandler, Adam Peindl",50,IP
28,-,2011-03-31,346.l.49099.t.1,"Happy Chandler, Adam Peindl",28,W
32,-,2011-03-31,346.l.49099.t.1,"Happy Chandler, Adam Peindl",32,SV
42,-,2011-03-31,346.l.49099.t.1,"Happy Chandler, Adam Peindl",42,K
26,-,2011-03-31,346.l.49099.t.1,"Happy Chandler, Adam Peindl",26,ERA
27,-,2011-03-31,346.l.49099.t.1,"Happy Chandler, Adam Peindl",27,WHIP
60,-,2011-03-31,346.l.49099.t.2,Its Still Saudomy in Texas,60,AVG
7,-,2011-03-31,346.l.49099.t.2,Its Still Saudomy in Texas,7,R
13,-,2011-03-31,346.l.49099.t.2,Its Still Saudomy in Texas,13,RBI
16,-,2011-03-31,346.l.49099.t.2,Its Still Saudomy in Texas,16,SB
23,-,2011-03-31,346.l.49099.t.2,Its Still Saudomy in Texas,23,TB
4,-,2011-03-31,346.l.49099.t.2,Its Still Saudomy in Texas,4,OBP
50,-,2011-03-31,346.l.49099.t.2,Its Still Saudomy in Texas,50,IP
28,-,2011-03-31,346.l.49099.t.2,Its Still Saudomy in Texas,28,W
32,-,2011-03-31,346.l.49099.t.2,Its Still Saudomy in Texas,32,SV
42,-,2011-03-31,346.l.49099.t.2,Its Still Saudomy in Texas,42,K
26,-,2011-03-31,346.l.49099.t.2,Its Still Saudomy in Texas,26,ERA
