stat_id,value,date,team_key
60,5/35,2013-04-01,308.l.54481.t.1
7,3,2013-04-01,308.l.54481.t.1
13,2,2013-04-01,308.l.54481.t.1
16,0,2013-04-01,308.l.54481.t.1
23,9,2013-04-01,308.l.54481.t.1
4,.231,2013-04-01,308.l.54481.t.1
50,24.0,2013-04-01,308.l.54481.t.1
28,2,2013-04-01,308.l.54481.t.1
32,0,2013-04-01,308.l.54481.t.1
42,25,2013-04-01,308.l.54481.t.1
26,1.50,2013-04-01,308.l.54481.t.1
27,0.79,2013-04-01,308.l.54481.t.1
60,8/32,2013-04-01,308.l.54481.t.2
7,7,2013-04-01,308.l.54481.t.2
13,2,2013-04-01,308.l.54481.t.2
16,2,2013-04-01,308.l.54481.t.2
23,15,2013-04-01,308.l.54481.t.2
4,.333,2013-04-01,308.l.54481.t.2
50,28.1,2013-04-01,308.l.54481.t.2
28,2,2013-04-01,308.l.54481.t.2
32,2,2013-04-01,308.l.54481.t.2
42,24,2013-04-01,308.l.54481.t.2
26,1.27,2013-04-01,308.l.54481.t.2
27,0.67,2013-04-01,308.l.54481.t.2
60,6/30,2013-04-01,308.l.54481.t.3
7,3,2013-04-01,308.l.54481.t.3
13,4,2013-04-01,308.l.54481.t.3
16,0,2013-04-01,308.l.54481.t.3
23,9,2013-04-01,308.l.54481.t.3
4,.314,2013-04-01,308.l.54481.t.3
50,16.2,2013-04-01,308.l.54481.t.3
28,2,2013-04-01,308.l.54481.t.3
32,2,2013-04-01,308.l.54481.t.3
42,21,2013-04-01,308.l.54481.t.3
26,0.00,2013-04-01,308.l.54481.t.3
27,0.72,2013-04-01,308.l.54481.t.3
60,6/33,2013-04-01,308.l.54481.t.4
7,4,2013-04-01,308.l.54481.t.4
13,5,2013-04-01,308.l.54481.t.4
16,2,2013-04-01,308.l.54481.t.4
23,12,2013-04-01,308.l.54481.t.4
4,.200,2013-04-01,308.l.54481.t.4
50,6.2,2013-04-01,308.l.54481.t.4
