,0
0,4.23
1,4.66
2,4.84
3,
4,2.67
5,
6,2.22
7,
8,3.92
9,4.76
10,1.66
11,
12,
13,
14,
15,2.78
16,
17,1.48
18,
19,
20,
21,2.78
22,4.22
23,1.89
24,3.53
25,1.15
26,1.08
27,4.11
28,2.15
29,2.06
30,3.23
31,2.78
32,3.98
33,2.64
34,4.63
35,3.1
36,
37,2.6
38,3.41
39,4.33
40,2.22
41,2.78
42,
43,
44,9.16
45,10.37
46,
47,3.09
48,2.63
49,1.32
50,2.04
51,4.76
52,4.76
53,1.3
54,4.66
55,4.21
56,1.9
57,1.72
58,3.8
59,2.24
60,8.62
61,
62,1.36
63,2.04
64,3.38
65,2.36
66,2.78
67,2.04
68,3.55
69,1.48
70,1.99
71,5.51
72,2.78
73,
74,
75,2.36
76,3.05
77,2.64
78,3.89
79,5.61
80,2.85
81,4.95
82,3.48
83,6.43
84,1.86
85,1.25
86,5.01
87,3.5
88,
89,3.66
90,
91,2.06
92,1.19
93,5.54
94,6.64
95,4.26
96,3.92
97,5.33
98,3.77
99,6.09
100,3.37
101,7.4
102,5.52
103,6.11
104,2.36
105,2.82
106,
107,8.01
108,
109,
110,2.78
111,1.76
112,1.36
113,3.41
114,2.79
115,
116,
117,1.25
118,6.11
119,
120,2.25
121,5.87
122,4.03
123,1.75
124,1.9
125,3.19
126,1.9
127,9.17
128,5.49
129,
130,4.15
131,2.92
132,2.78
133,2.17
134,4.41
135,
136,4.03
137,2.95
138,2.78
139,2.36
140,2.78
141,2.31
142,2.66
143,4.76
144,2.72
145,2.36
146,4.33
147,1.36
148,3.37
149,1.36
150,4.51
151,3.09
152,5.61
153,
154,5.22
155,7.95
156,5.43
157,
158,
159,
160,3.54
161,2.36
162,2.79
163,1.67
164,3.14
165,3.85
166,2.66
167,2.86
168,4.23
169,
170,2.17
171,6.94
172,2.78
173,3.59
174,3.14
175,2.88
176,2.78
177,2.17
178,2.64
179,1.94
180,3.27
181,3.66
182,4.84
183,
184,1.19
185,5.31
186,3.19
187,
188,1.89
189,3.85
190,3.3
191,2.36
192,7.95
193,
194,5.01
195,2.36
196,1.94
197,1.69
198,5.87
199,
200,
201,1.54
202,5.18
203,2.06
204,2.78
205,2.62
206,4.68
207,1.36
208,2.11
209,4.66
210,4.76
211,6.96
212,2.04
213,4.55
214,3.77
215,
216,4.4
217,9.96
218,1.94
219,1.9
220,
221,5.84
222,4.23
223,2.36
224,
225,
226,4.66
227,2.36
228,
229,2.91
230,2.04
231,3.37
232,2.64
233,2.36
234,3.02
235,2.79
236,2.78
237,1.81
238,2.78
239,3.63
240,2.8
241,2.64
242,1.38
243,2.11
244,2.66
245,
246,7.53
247,
248,2.04
249,
250,2.04
251,2.36
252,7.45
253,2.8
254,
255,9.17
256,2.45
257,1.62
258,3.79
259,5.93
260,4.84
261,
262,9.29
263,5.93
264,
265,6.96
266,
267,
268,2.78
269,
270,4.51
271,2.36
272,2.36
273,2.09
274,1.21
275,2.36
276,3.8
277,3.86
278,6.06
279,3.48
280,4.15
281,3.36
282,1.81
283,2.78
284,5.15
285,4.39
286,5.71
287,1.94
288,4.41
289,4.4
290,4.81
291,2.78
292,2.62
293,4.58
294,7.95
295,4.15
296,2.36
297,4.26
298,8.11
299,4.85
300,
301,2.78
302,4.81
303,4.4
304,2.88
305,4.11
306,1.15
307,4.85
308,
309,3.03
310,1.7
311,
312,2.92
313,
314,2.85
315,2.11
316,2.78
317,6.89
318,7.01
319,1.25
320,3.38
321,3.55
322,
323,2.36
324,3.19
325,6.38
326,1.1
327,2.04
328,2.82
329,5.93
330,2.62
331,2.78
332,4.03
333,6.44
334,1.54
335,2.36
336,
337,2.8
338,3.16
339,4.84
340,1.81
341,3.8
342,2.15
343,2.78
344,
345,2.24
346,2.33
347,5.0
348,1.36
349,2.95
350,1.81
351,4.14
352,3.04
353,2.3
354,3.77
355,1.28
356,4.81
357,3.04
358,
359,
360,5.36
361,
362,5.73
363,2.78
364,2.06
365,2.92
366,6.35
367,2.31
368,2.78
369,2.0
370,1.36
371,
372,
373,
374,1.9
375,5.93
376,3.99
377,5.06
378,
379,1.15
380,
381,3.75
382,2.36
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,
400,
401,
402,
403,
404,
405,
406,
407,
408,
409,
410,
411,
412,
413,
414,
415,
416,
417,
418,
419,
420,
421,
422,
423,
424,
425,
426,
427,
428,
429,
430,
431,
432,
433,
434,
435,
436,
437,
438,
439,
440,
441,
442,
443,
444,
445,
446,
447,
448,
449,
450,
451,
452,
453,
454,
455,
456,
457,
458,
459,
460,
461,
462,
463,
464,
465,
466,
467,
468,
469,
470,
471,
472,
473,
474,
475,
476,
477,
478,
479,
480,
481,
482,
483,
484,
485,
486,
487,
488,
489,
490,
491,1.36
492,0.91
493,2.38
494,5.51
495,2.83
496,2.45
497,1.19
498,4.23
499,
500,3.04
501,3.05
502,1.81
503,2.62
504,5.93
505,2.06
506,3.48
507,
508,2.78
509,2.25
510,
511,6.15
512,2.36
513,5.36
514,2.97
515,2.66
516,
517,4.57
518,
519,9.01
520,
521,1.7
522,3.69
523,
524,3.66
525,2.8
526,2.11
527,3.66
528,
529,2.36
530,2.78
531,
532,4.03
533,3.77
534,
535,
536,2.22
537,2.78
538,5.87
539,6.37
540,2.78
541,2.28
542,4.33
543,
544,4.6
545,1.99
546,2.78
547,2.56
548,3.66
549,2.91
550,2.45
551,2.45
552,2.15
553,3.09
554,1.7
555,2.45
556,2.59
557,6.37
558,3.77
559,1.25
560,4.84
561,2.78
562,3.1
563,2.66
564,2.38
565,3.88
566,4.84
567,2.38
568,2.96
569,6.39
570,3.21
571,2.78
572,4.73
573,0.77
574,5.33
575,1.25
576,
577,
578,3.79
579,2.8
580,
581,
582,
583,1.94
584,5.87
585,4.44
586,4.33
587,5.93
588,3.57
589,1.25
590,5.18
591,
592,1.64
593,3.95
594,2.94
595,
596,2.04
597,2.36
598,
599,4.84
600,5.82
601,6.96
602,
603,5.22
604,3.47
605,6.55
606,2.78
607,9.64
608,6.64
609,2.64
610,4.15
611,3.16
612,2.78
613,3.36
614,4.11
615,
616,2.36
617,3.4
618,2.0
619,2.97
620,2.36
621,5.84
622,
623,0.86
624,2.04
625,2.88
626,3.21
627,1.64
628,6.64
629,2.33
630,2.78
631,2.66
632,5.88
633,3.55
634,4.41
635,2.88
636,4.16
637,1.67
638,1.9
639,3.54
640,3.66
641,6.2
642,
643,2.64
644,3.88
645,1.9
646,2.06
647,
648,
649,2.04
650,2.78
651,2.36
652,3.45
653,3.89
654,3.27
655,2.3
656,2.66
657,3.09
658,6.64
659,3.09
660,
661,2.78
662,3.21
663,2.36
664,7.33
665,1.14
666,3.66
667,5.33
668,
669,5.51
670,6.43
671,4.01
672,3.66
673,6.44
674,6.07
675,1.81
676,1.93
677,4.57
678,8.53
679,9.29
680,2.04
681,2.04
682,3.22
683,2.88
684,4.39
685,3.12
686,1.9
687,1.08
688,1.55
689,1.67
690,2.36
691,1.9
692,3.5
693,2.92
694,1.15
695,1.91
696,3.66
697,3.98
698,
699,
700,1.81
701,2.36
702,3.91
703,
704,1.94
705,
706,
707,3.71
708,3.28
709,2.36
710,1.99
711,1.94
712,2.64
713,3.97
714,0.77
715,4.33
716,2.38
717,1.15
718,1.38
719,2.36
720,1.91
721,3.2
722,3.96
723,7.01
724,2.88
725,
726,2.6
727,6.99
728,1.94
729,5.01
730,5.22
731,2.36
732,2.22
733,1.99
734,2.45
735,4.95
736,4.38
737,4.26
738,2.38
739,2.64
740,3.66
741,4.04
742,1.38
743,3.66
744,1.75
745,4.61
746,2.6
747,1.94
748,3.94
749,2.04
750,2.78
751,
752,4.15
753,3.79
754,2.36
755,2.17
756,1.94
757,2.95
758,
759,1.55
760,1.25
761,3.04
762,2.3
763,3.16
764,3.77
765,7.82
766,
767,1.68
768,
769,2.78
770,2.15
771,2.36
772,
773,8.75
774,5.85
775,2.82
776,2.11
777,5.49
778,2.86
779,
780,4.4
781,2.36
782,3.96
783,7.46
784,2.78
785,2.91
786,1.94
787,
788,2.04
789,5.47
790,
791,9.15
792,
793,2.98
794,4.86
795,1.21
796,3.23
797,9.04
798,1.25
799,3.1
800,6.44
801,2.78
802,4.76
803,3.48
804,5.47
805,2.38
806,2.78
807,4.33
808,2.85
809,2.78
810,3.04
811,5.64
812,2.15
813,6.11
814,2.78
815,6.43
816,2.66
817,6.11
818,1.86
819,0.7
820,2.36
821,1.08
822,4.61
823,7.79
824,4.03
825,2.11
826,3.3
827,6.41
828,4.01
829,2.36
830,2.36
831,2.78
832,2.78
833,3.55
834,4.68
835,
836,2.36
837,5.36
838,5.61
839,6.12
840,4.91
841,2.36
842,4.03
843,6.61
844,3.86
845,3.36
846,5.32
847,4.03
848,3.3
849,
850,
851,2.78
852,1.3
853,4.33
854,6.94
855,1.48
856,2.98
857,1.27
858,5.87
859,1.28
860,2.78
861,8.98
862,1.94
863,3.2
864,3.66
865,2.92
866,6.95
867,
868,2.24
869,4.58
870,3.77
871,2.78
872,2.91
873,3.79
874,3.36
875,5.36
876,2.04
877,3.64
878,3.36
879,
880,1.67
881,4.95
882,5.43
883,
884,1.81
885,4.12
886,2.78
887,2.78
888,5.32
889,1.94
890,2.8
891,
892,4.55
893,2.49
894,
895,2.22
896,3.94
897,6.06
898,4.31
899,3.23
900,4.38
901,3.37
902,6.9
903,4.89
904,2.95
905,4.78
906,2.11
907,6.81
908,4.04
909,2.78
910,
911,1.15
912,2.84
913,2.04
914,3.55
915,3.66
916,2.45
917,3.1
918,6.42
919,1.41
920,
921,1.83
922,4.95
923,2.78
924,6.38
925,2.15
926,2.15
927,7.06
928,3.23
929,4.95
930,1.25
931,3.05
932,3.66
933,6.42
934,3.1
935,1.36
936,2.64
937,
938,
939,1.7
