"","team_key","date","stat_id","IP","year","stat_name","IP_round","ERA","run_per_inning","run_per_out","true_ERA"
"1","346.l.49099.t.1",16530,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"2","346.l.49099.t.2",16530,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"3","346.l.49099.t.3",16530,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"4","346.l.49099.t.4",16530,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"5","346.l.49099.t.5",16530,50,1,2015,"IP",1,0,0,0,1.62
"6","346.l.49099.t.6",16530,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"7","346.l.49099.t.7",16530,50,6,2015,"IP",6,0,0,0,1.62
"8","346.l.49099.t.8",16530,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"9","346.l.49099.t.9",16530,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"10","346.l.49099.t.10",16530,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"11","346.l.49099.t.11",16530,50,1,2015,"IP",1,0,0,0,1.62
"12","346.l.49099.t.12",16530,50,5.333,2015,"IP",6,5.06,0.562222222222222,0.187407407407407,1.62
"13","346.l.49099.t.1",16531,50,8.333,2015,"IP",9,1.08,0.12,0.04,1.62
"14","346.l.49099.t.2",16531,50,30.333,2015,"IP",31,3.56,0.395555555555556,0.131851851851852,1.62
"15","346.l.49099.t.3",16531,50,9,2015,"IP",9,0,0,0,1.62
"16","346.l.49099.t.4",16531,50,10,2015,"IP",10,0,0,0,1.62
"17","346.l.49099.t.5",16531,50,19,2015,"IP",19,4.26,0.473333333333333,0.157777777777778,1.62
"18","346.l.49099.t.6",16531,50,14.333,2015,"IP",15,1.88,0.208888888888889,0.0696296296296296,1.62
"19","346.l.49099.t.7",16531,50,20.667,2015,"IP",21,1.74,0.193333333333333,0.0644444444444444,1.62
"20","346.l.49099.t.8",16531,50,19.667,2015,"IP",20,3.2,0.355555555555556,0.118518518518519,1.62
"21","346.l.49099.t.9",16531,50,1,2015,"IP",1,0,0,0,1.62
"22","346.l.49099.t.10",16531,50,13,2015,"IP",13,4.15,0.461111111111111,0.153703703703704,1.62
"23","346.l.49099.t.11",16531,50,1.333,2015,"IP",2,0,0,0,1.62
"24","346.l.49099.t.12",16531,50,25.667,2015,"IP",26,4.91,0.545555555555556,0.181851851851852,1.62
"25","346.l.49099.t.1",16532,50,9,2015,"IP",9,3,0.333333333333333,0.111111111111111,1.62
"26","346.l.49099.t.2",16532,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"27","346.l.49099.t.3",16532,50,8.333,2015,"IP",9,2.16,0.24,0.08,1.62
"28","346.l.49099.t.4",16532,50,13,2015,"IP",13,3.46,0.384444444444444,0.128148148148148,1.62
"29","346.l.49099.t.5",16532,50,1,2015,"IP",1,9,1,0.333333333333333,1.62
"30","346.l.49099.t.6",16532,50,2.333,2015,"IP",3,0,0,0,1.62
"31","346.l.49099.t.7",16532,50,1,2015,"IP",1,0,0,0,1.62
"32","346.l.49099.t.8",16532,50,NA,2015,"IP",12,7.71,0.856666666666667,0.285555555555556,1.62
"33","346.l.49099.t.9",16532,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"34","346.l.49099.t.10",16532,50,0.333,2015,"IP",1,108,12,4,1.62
"35","346.l.49099.t.11",16532,50,1.667,2015,"IP",2,37.8,4.2,1.4,1.62
"36","346.l.49099.t.12",16532,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"37","346.l.49099.t.1",16533,50,15,2015,"IP",15,3,0.333333333333333,0.111111111111111,1.62
"38","346.l.49099.t.2",16533,50,25.333,2015,"IP",26,2.49,0.276666666666667,0.0922222222222222,1.62
"39","346.l.49099.t.3",16533,50,20.333,2015,"IP",21,0.89,0.0988888888888889,0.032962962962963,1.62
